q_sim,q_obs
1.2591866164236125,1.36
1.2198611983390808,1.3
1.1755789737596642,1.22
1.1123864388532017,1.21
1.0547008651869754,1.18
1.0649318327058694,1.16
1.061446432425786,1.16
1.022395460246093,1.11
0.9665927475497639,1.11
0.9309141669979192,1.09
1.0129465664671036,1.09
1.0325152833644102,1.25
1.0411373809751956,1.07
1.0057505225917869,1.04
1.0120925783416792,1.08
0.9816634793077083,1.01
0.9564095305349496,0.95
0.915908529900709,0.91
0.8706232595602652,0.89
0.8228778415570656,0.86
0.7776142685595671,0.85
0.7409882815846541,0.83
0.7077320373751441,0.83
0.7240138245543061,0.82
0.7403408935510724,0.86
0.7489693811015916,0.8
0.7249606023387125,0.77
0.7118134303464863,0.74
0.7482833364068626,0.89
0.7458142825261654,0.74
0.7226373078889216,0.72
0.6989739125674166,0.68
0.6704583346674776,0.68
0.6624543671541897,0.7
0.6469098431631958,0.71
0.6178189115376794,0.65
0.5946913148305847,0.64
0.6114499435687487,0.66
0.6574439268801945,1.44
0.6724010353848325,0.81
0.6507909452736338,0.68
0.6486834796424907,0.58
0.6763419358929382,0.97
0.6471282005105838,0.65
0.6118182475702484,0.56
0.5795456434127526,0.57
0.5548605285499876,0.57
0.5299883946782893,0.56
0.5038362855126268,0.54
0.48955557841219166,0.54
0.5021499561803838,0.56
0.49025809114338675,0.53
0.504509121198605,0.6
0.48497617187886144,0.51
0.48904794755449865,0.51
0.47602498851609953,0.51
0.45061261987416024,0.51
0.43526592577824735,0.49
0.45156911948099293,0.53
0.4360834961518556,0.51
0.42103333680479205,0.46
0.4536604194571041,0.53
0.48417788134613204,0.52
0.49845602775955,0.47
0.6750007518134333,1.95
1.5677895770762864,1.86
1.062814159664984,1.63
0.8623269177043267,0.7
0.7993851212468052,0.59
0.756878098746292,0.54
0.7244024554113804,0.51
0.6930718406624685,0.44
0.6807564945529538,0.55
0.6576544730409453,0.49
0.6591196289464223,0.47
0.6399349551549476,0.46
0.6059592689333676,0.45
0.5879191658891414,0.47
0.5777041912741149,0.78
0.5923498997765639,0.69
0.6325929715975721,0.53
0.6228971968711721,0.68
0.6052472428414003,0.49
0.5922346192852377,0.62
0.5761050519816888,0.5
0.5530432660332474,0.5
0.5893462538828717,0.71
0.5802321142900575,0.57
0.5681933123760021,0.49
0.613181586858078,0.95
0.6323725052218155,0.52
0.6704507723828962,0.75
0.6769803800155025,0.75
0.6550052900441917,0.51
0.6260344192863957,0.49
0.5984531744646586,0.49
0.569128061378292,0.53
0.53952940050936,0.51
0.5120417332815206,0.51
0.498744283028592,0.52
0.5244692950253139,0.64
0.509323386970501,0.51
0.4856395778033126,0.51
0.4641432488575123,0.5
0.46061775482642736,0.49
0.4433342515124697,0.48
0.5376704175183932,1.43
0.55772679017716,0.6
0.5541453635804521,0.54
0.540235529472461,0.52
0.5404926600225871,0.59
0.5461639759226767,0.51
0.5255915166504682,0.5
0.4988118633359479,0.48
0.4766141110982378,0.48
0.45323096840020194,0.47
0.4307328099000636,0.47
0.4098121581080275,0.44
0.3891638700488824,0.41
0.3729561023548722,0.41
0.3857127322890468,0.5
0.38238331189655533,0.43
0.36459043515067263,0.4
0.3441818673234496,0.4
0.32782903288455434,0.4
0.3146069584022071,0.42
0.2995925830142338,0.43
0.2873419260033594,0.42
0.27257368261949816,0.43
0.2751777497102929,0.43
0.30497930893273173,0.54
0.30674449522641145,0.43
0.3098726973941419,0.42
0.3524630957805283,0.57
0.354686130584025,0.43
0.36614396560938167,0.49
0.39891838203806873,0.55
0.4027317688591089,0.51
0.38728729400244544,0.45
0.36906454138709344,0.43
0.3501040910145926,0.41
0.33200046810436057,0.42
0.316787342265948,0.4
0.31560304741329653,0.43
0.33734990776025314,0.51
0.3674895981791844,0.44
0.4593333275028495,1.52
0.46449563519141895,0.61
0.4532063367068606,0.44
0.43065176433265756,0.43
0.40903089938065995,0.41
0.39803967928335826,0.39
0.3990395394762863,0.39
0.38737146074274575,0.4
0.3724049211559314,0.39
0.37541986853630416,0.38
0.3910949339366362,0.51
0.4425636263841528,0.51
0.5260488408328157,1.22
0.5366195550692435,0.68
0.5213994610794835,0.53
0.5516138910497365,0.59
0.5927627089589403,0.81
0.6054476636224853,0.62
0.6036859988539593,0.52
0.6258318799005916,0.59
0.6536292040109669,1.06
0.7359824037067514,1.45
0.7346883152138564,1.16
0.7188311064840216,0.8
0.7329738233953629,0.79
0.7290570426304726,0.72
0.7528876502195507,0.67
1.420522270428889,2.13
1.4005571509876922,2.66
1.120401799534773,2.09
1.091341505927465,1.44
1.0812608799600198,1.12
1.0884097984287382,1.08
1.1025623172103798,1.06
1.1394639531164639,2.0
1.1949029427733342,1.43
1.839614827816993,7.56
1.3834635823235937,2.68
1.3060703612075137,1.91
1.3182719506747302,1.69
1.3489381423902134,2.13
1.4068593518509953,2.13
1.4018481409664494,2.12
1.361646551932188,1.65
1.3336897978786233,1.53
1.2879452508959235,1.4
1.2387307841238353,1.35
1.2181293124384687,1.33
1.1654543735567306,1.23
1.1214940502697692,1.18
1.07547698985478,1.17
1.044153479495275,1.12
1.0034345779675913,1.06
0.9681437610809532,1.08
