gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
camelsde_210760,47.60185546,10.42314248,Sebastianskapelle ,Germany,60.68668294844954
camelsde_210770,47.62094507,10.46181353,Haslach Werksabfluss ,Germany,82.57081749522845
camelsde_210780,47.77343789,10.59537383,Thalhofen ,Germany,289.5144843621089
camelsde_210790,47.82632844,10.64290964,Biessenhofen ,Germany,441.75007040192986
camelsde_210800,48.06327798,10.65181369,Türkheim ,Germany,651.6910842863766
camelsde_210830,47.70592591,10.51108233,Görisried ,Germany,23.61165566005685
camelsde_210840,47.74813256,10.58327926,Leuterschach ,Germany,101.99321837516472
camelsde_210860,47.82640503,10.6532317,Hörmanshofen ,Germany,93.2127202614529
camelsde_210870,48.04671239,10.71869245,Buchloe ,Germany,135.24002174087758
camelsde_210880,48.1480658,10.75515822,Langerringen_Singold ,Germany,98.61363892311536
camelsde_210900,48.16708017,10.92655318,Winkl ,Germany,123.56689099544631
camelsde_210910,48.27328424,10.98608628,Mering ,Germany,138.6092354
camelsde_210920,48.38370634,11.05084591,Dasing ,Germany,239.40903076572025
camelsde_210940,48.57407177,11.28229626,Mühlried ,Germany,672.3395080603402
camelsde_210950,48.71768307,11.49369903,Manching (Ort) ,Germany,851.1695889916676
camelsde_210960,48.72811164,11.50132865,Manching Bahnbrücke ,Germany,1253.90936909345
camelsde_210970,48.42135993,11.14974639,Blumenthal ,Germany,61.23393229549031
camelsde_211000,48.64274112,11.7841209,Mainburg ,Germany,143.10924183439775
camelsde_211010,48.81654342,11.83063942,Aunkofen ,Germany,360.5158418634202
camelsde_211030,48.68303528,11.61731673,Geisenfeld ,Germany,455.95114716507817
camelsde_211040,49.38271837,10.37327343,Binzwangen ,Germany,24.991427729529622
camelsde_211050,49.20653813,10.5446138,Thann ,Germany,321.89186605524446
camelsde_211060,49.10052873,10.75362728,Aha ,Germany,688.7086005429833
camelsde_211070,48.95317078,10.9135461,Treuchtlingen ,Germany,890.0273800511351
camelsde_211080,48.88303884,11.20056538,Eichstätt ,Germany,1393.975520814112
camelsde_211090,49.02837746,11.47820919,Beilngries o.d.Sulz_Altmühl ,Germany,2243.4539518772976
camelsde_211100,49.15677329,10.5487321,Bechhofen ,Germany,92.357621804691
camelsde_211110,48.96730751,10.95351607,Schambach ,Germany,98.8105034044532
camelsde_211120,49.02988043,11.36540516,Mettendorf ,Germany,302.9404320835121
camelsde_211130,49.12168247,11.51639979,Holnstein ,Germany,88.78674172676068
camelsde_211150,49.17120775,11.72755798,Parsberg ,Germany,184.91167658453105
camelsde_211160,49.02785181,11.91449865,Deuerling ,Germany,438.4213439362922
camelsde_211170,49.5356146,12.15394834,Unterköblitz ,Germany,2000.6125918743749
camelsde_211180,49.23400735,12.08409125,Münchshofen ,Germany,4009.597390521868
camelsde_211190,49.11795563,11.93604339,Heitzenhofen ,Germany,5417.882287611108
camelsde_211200,49.7977126,12.16487761,Windischeschenbach ,Germany,584.0089764085185
camelsde_211210,49.66968993,12.1663412,Weiden_Waldnaab ,Germany,911.5030581667186
camelsde_211220,49.80861307,12.36384474,Iglersreuth Speicherzufluss ,Germany,52.16600356238327
camelsde_211230,49.81568596,12.32873027,Liebenstein Werksabfluss ,Germany,75.03330399581019
camelsde_211240,49.81201711,12.16467637,Johannisthal ,Germany,296.36950405605336
camelsde_211250,49.79038804,12.32803087,Geisleithen ,Germany,13.662163396217643
camelsde_211260,49.83559198,12.06283902,Erbendorf ,Germany,180.08896113811372
camelsde_211270,49.77787633,12.02820642,Friedersreuth ,Germany,5.907806986284691
camelsde_211280,49.73090297,12.04557216,Hammerles ,Germany,25.988303816047992
camelsde_211290,49.82344,11.89211333,Unterbruck_Haidenaab ,Germany,190.671080493227
camelsde_211310,49.60835709,12.12823598,Wildenau ,Germany,719.6859767676584
camelsde_211320,49.71821392,11.9159188,Grafenwöhr ,Germany,181.3786363375501
camelsde_211330,49.61825636,12.49305898,Pfrentsch ,Germany,227.8048967479212
camelsde_211340,49.57231385,12.34029356,Böhmischbruck ,Germany,483.27722376831593
camelsde_211350,49.519339,12.26424346,Trausnitz u.d. Mühle ,Germany,541.4700676191372
camelsde_211360,49.6204953,12.41763045,Lohma ,Germany,99.7947373577578
camelsde_211370,49.40959966,12.70440037,Höll ,Germany,61.04175610444612
camelsde_211380,49.38938193,12.69631481,Hocha Perlseeabfluss ,Germany,72.4647934833169
camelsde_211390,49.33725466,12.51516206,Rötz Speicherzufluss ,Germany,397.7929871320054
camelsde_211400,49.35951902,12.44792873,Eixendorf Speicherabfluss ,Germany,415.36951787156994
camelsde_211410,49.40445014,12.21093732,Warnbach ,Germany,819.2215388569845
camelsde_211420,49.43539397,12.59605847,Tiefenbach_Bayer. Schwarzach ,Germany,59.50861660861595
